,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Out of vocabulary,Low bin lower bound,Low bin upper bound,Mid bin lower bound,Mid bin upper bound,High bin lower bound,High bin upper bound,Low bin score,Low bin pair count,Middle bin score,Middle bin pair count,High bin score,High bin pair count,Mixed bin score,Mixed bin pair count,General score
0,w2v,CBOW,2020-05-06 02:47:27.506915,100,2,1000000,hs,No,100,MEN,106,1,7,7,29,29,1540,-0.08602585152112686,301,0.275763275727307,230,0.4589657444835615,296,0.1125652972549795,2173,0.1261474381533731
1,w2v,CBOW,2020-05-06 02:47:27.820542,100,2,1000000,hs,No,100,MTurk,102,1,10,10,37,37,586,-0.10742710902093547,23,-0.08588963520619333,17,0.509618344367734,27,0.2047246923863935,220,0.19563868880904442
2,w2v,CBOW,2020-05-06 02:47:28.132970,100,2,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.10714285714285716,7,0.7999999999999999,4,0.13362093622095805,49,0.18916886008273362
3,w2v,CBOW,2020-05-06 02:47:28.523470,100,2,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,0.15234282781471833,77,0.5152329588312713,55,0.1740824073889683,1845,0.17755003244901216
4,w2v,CBOW,2020-05-06 02:47:28.867138,100,2,1000000,hs,No,100,SimLex-999,46,1,9,9,34,34,792,0.08073492499985951,91,0.03236358744034666,97,0.0763466175619043,173,0.09954696287486335,638,0.08002373789400395
5,w2v,CBOW,2020-05-06 02:47:29.570566,100,2,1000000,hs,No,100,TR9856,1793,1,11,11,48,48,779,0.3183533338980273,106,0.4784864198627713,79,0.5330878650038783,144,0.0944648318290581,9527,0.10374403932481825
6,w2v,CBOW,2020-05-06 02:47:29.836092,100,2,1000000,hs,No,100,WS353,14,1,17,17,59,60,895,0.5953757971483306,29,0.3116770296931483,19,0.4780304395391157,26,0.3268950152888281,129,0.3944677430600914
7,w2v,CBOW,2020-05-06 02:48:42.361264,100,5,1000000,hs,No,100,MEN,106,1,7,7,29,29,1540,-0.050813276511290674,301,0.3198292866723568,230,0.4184738115643664,296,0.11834520063115454,2173,0.13573149200389384
8,w2v,CBOW,2020-05-06 02:48:42.797785,100,5,1000000,hs,No,100,MTurk,102,1,10,10,37,37,586,-0.06900611944168325,23,0.14355839027320885,17,0.44427482987121214,27,0.25236186634334024,220,0.22683252901401796
9,w2v,CBOW,2020-05-06 02:48:43.127021,100,5,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.42857142857142866,7,0.0,4,0.19379901213495793,49,0.2231577365691435
10,w2v,CBOW,2020-05-06 02:48:43.642523,100,5,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,0.07369645922894529,77,0.4345677231537245,55,0.144519877627686,1845,0.14771312360733932
11,w2v,CBOW,2020-05-06 02:48:44.111163,100,5,1000000,hs,No,100,SimLex-999,46,1,9,9,34,34,792,0.08304745336092456,91,0.10122004572464376,97,0.03612380904418888,173,0.09218303857987784,638,0.07220493500419033
12,w2v,CBOW,2020-05-06 02:48:45.084043,100,5,1000000,hs,No,100,TR9856,1793,1,11,11,48,48,779,0.3167678053366126,106,0.3807517177628035,79,0.5653762006569075,144,0.09103914012841903,9527,0.09933057163178972
13,w2v,CBOW,2020-05-06 02:48:45.443334,100,5,1000000,hs,No,100,WS353,14,1,17,17,59,60,895,0.47388577456485353,29,0.27831441806402263,19,0.46127543843938995,26,0.32068918292302184,129,0.35558669132094683
14,w2v,CBOW,2020-05-06 02:50:00.660253,100,10,1000000,hs,No,100,MEN,106,1,7,7,29,29,1540,-0.0635100628837433,301,0.2222055925742176,230,0.41560667746007823,296,0.1161887772750881,2173,0.12333424184167145
15,w2v,CBOW,2020-05-06 02:50:01.019526,100,10,1000000,hs,No,100,MTurk,102,1,10,10,37,37,586,0.05586209669088644,23,0.07239269253093439,17,0.4296183406383475,27,0.2230513719655644,220,0.21352111681839528
16,w2v,CBOW,2020-05-06 02:50:01.316319,100,10,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.07142857142857144,7,0.0,4,0.21126345799595705,49,0.212919329043179
17,w2v,CBOW,2020-05-06 02:50:01.691680,100,10,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,-0.03066577310704039,77,0.3572936020350728,55,0.12374901317541828,1845,0.12405231869157024
18,w2v,CBOW,2020-05-06 02:50:02.019728,100,10,1000000,hs,No,100,SimLex-999,46,1,9,9,34,34,792,0.15013520394830152,91,-0.016813021756393015,97,0.022307503778883953,173,0.10738453612612746,638,0.08129224070553463
19,w2v,CBOW,2020-05-06 02:50:02.738631,100,10,1000000,hs,No,100,TR9856,1793,1,11,11,48,48,779,0.293442006792841,106,0.31651167873338837,79,0.46517020607082404,144,0.09381144546470505,9527,0.10096324527155126
20,w2v,CBOW,2020-05-06 02:50:02.989778,100,10,1000000,hs,No,100,WS353,14,1,17,17,59,60,895,0.4504840079196757,29,0.0342405750930501,19,0.6397674909711628,26,0.29657029929591544,129,0.31010936897272384
21,w2v,CBOW,2020-05-06 02:51:43.609004,300,2,1000000,hs,No,100,MEN,106,1,7,7,29,29,1540,-0.06010195150157412,301,0.25921946278328784,230,0.4687191389201881,296,0.1223359551052331,2173,0.1331827918248118
22,w2v,CBOW,2020-05-06 02:51:43.890226,300,2,1000000,hs,No,100,MTurk,102,1,10,10,37,37,586,-0.11501019906947209,23,0.1852762130876456,17,0.3401526876127356,27,0.16043945039954213,220,0.15548762002947744
23,w2v,CBOW,2020-05-06 02:51:44.171405,300,2,1000000,hs,No,100,RG65,8,1,4,4,17,18,186,,5,-0.4642857142857144,7,0.7999999999999999,4,0.20731987344669917,49,0.21232611658995793
24,w2v,CBOW,2020-05-06 02:51:44.561939,300,2,1000000,hs,No,100,RW,1329,1,4,4,22,22,1004,,57,0.22866214738015003,77,0.45368783715600525,55,0.18675448906432066,1845,0.19096345890426253
